id,expediente,producto,cantidadcum,descripcioncomercial,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad
20,20057213,BACTROSAFEÂ® 500 MG TABLETAS RECUBIETAS,3,USO INSTITUCIONAL: CAJA POR 3 TABLETAS RECUBIERTAS EN BLISTER ALUMINIO/PVC/PVDC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
21,20057210,BACTROSAFEÂ® 250 MG TABLETAS RECUBIERTAS,2,PRESENTACION COMERCIAL: CAJA PELGADIZA POR 2 TABLETAS RECUBIERTAS POR BLISTER DE ALUMINIO/ PVC/PVDC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,250
22,51565,ZITROMAXÂ® 500 MG,2,PRESENTACION COMERCIAL: CAJA POR 2 TABLETAS EN BLISTER PCV/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA,mg,500
23,19947188,AZITROMICINA 500 MG,5,CAJA POR 5 CÃPSULAS DURAS EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/PVC TRANSPARENTE POR 5 CÃPSULAS.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 95% 551.6850 MG EQUIVALENTE A AZITROMICINA,mg,500
24,51565,ZITROMAXÂ® 500 MG,3,PRESENTACION COMERCIAL: CAJA POR 3 TABLETAS EN BLISTER PCV/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA,mg,500
25,20129515,TROMIXÂ® 250 MG,5,1A1018591000105: CAJA X 5 TABLETAS RECUBIERTAS EN BLISTER POR 5 TABLETA RECUBIERTA/ESTUCHE X 1 BLISTER PVDC BLANCO / ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHITRATO TIPO I QUE EQUIVALE A AZITROMICINA BASE,mg,250
26,20057213,BACTROSAFEÂ® 500 MG TABLETAS RECUBIETAS,2,PRESENTACION COMERCIAL: CAJA POR 2 TABLETAS RECUBIERTAS EN BLISTER ALUMINIO/PVC/PVDC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
27,19969831,ZITRIMÂ® 500 MG,4,CAJA POR 4 TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/PVDC POR 4 TABLETAS RECUBIERTAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 526.320 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
28,20107150,DOBRICON,1,CAJA CON FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD BLANCO CON 5 ML. TAPA DE POLIESTIRENO,U,S01AA26,AZITROMICINA,OFTÃLMICA,C,AZITROMICINA DIHIDRATADA 15 MG EQUIVALENTE A AZITROMICINA BASE,mg,14.3
29,20070305,MAXTREÂ® TABLETAS 500 MG,3,CAJA POR 3 TABLETAS EN BLISTER PVC TRANSPARENTE / ALUMINIO.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA,mg,500
30,6414,AZITROMICINA MK 200 MG/ 5 ML POLVO PARA SUSPENSION,1,CAJA PLEGADIZA CON FRASCO PEAD NATURAL. TAPA DE PP BLANCA. FRASCO PEAD NATURAL TAPA BLANCA DE PP CON DILUENTE. MÃS JERINGA DOSIFICADORA. TAPÃ“N DE SEGURIDAD E INSTRUCTIVO DE USO.,U,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA.,g,4
31,20100712,AZITROMICINA 500 MG TABLETA RECUBIERTA,3,CAJA POR 3 TABLETAS RECUBIERTAS EN BLISTER PVC-ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA 91.0% 549.45 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
32,19943077,PRETIR Â® POLVO PARA RECONSTITUIR A SUSPENSION ORAL,225,FRASCO PEAD POR 22.5 ML. CAJA PLEGADIZA PROPALCOTE 280 POR 1 FRASCO E INSERTO DE PREPARACION.,ml,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO 4.20 G EQUIVALENTE A 4.0 G DE AZITROMICINA,g,4
33,20027262,AZITROGRAM 500 MG TABLETAS,3,CAJA POR 3 TABLETAS EN BLISTER ALUMINIO/PVC TRANSPARENTE,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,mg,500
34,20057210,BACTROSAFEÂ® 250 MG TABLETAS RECUBIERTAS,2,PRESENTACION COMERCIAL: CAJA PELGADIZA POR 2 TABLETAS RECUBIERTAS POR BLISTER DE ALUMINIO/ PVC/PVDC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,250
35,20073631,AZIBIOTRIM Â® 500 MG,5,CAJA X 5 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
36,20073631,AZIBIOTRIM Â® 500 MG,10,CAJA X 10 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
37,20073631,AZIBIOTRIM Â® 500 MG,5,CAJA X 5 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
38,59093,TROMIX,22.5,CAJA CON UN FRASCO DE PVC BLANCO CON PRODUCTO PARA RECONSTITUIR A 22.5ML. TAPA DE PP. INSERTO. COPA DOSIFICADORA Y TERMOENCOG. D,ml,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,g,4
39,59093,TROMIX,30,CAJA CON UN FRASCO DE PVC BLANCO CON PRODUCTO PARA RECONSTITUIR A 30ML. TAPA DE PP. INSERTO. COPA DOSIFICADORA Y TERMOENCOG. DE,ml,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,g,4
40,19952933,AZITROMICINA 500MG,3,CAJA POR 3 TABLETAS EN BLISTER PVC/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,mg,500
41,20026177,RANTIZ TABLETAS RECUBIERTAS,3,CAJA PLEGADIZA DE CARTÃ“N CON BLISTER ALUMINIO - PVC/PVDC TRANSPARENTE CON 3 TABLETAS RECUBIERTAS.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,mg,500
42,6414,AZITROMICINA MK 200 MG/ 5 ML POLVO PARA SUSPENSION,1,CAJA PLEGADIZA CON FRASCO PEAD NATURAL. TAPA DE PP BLANCA. FRASCO PEAD NATURAL TAPA BLANCA DE PP CON DILUENTE. JERINGA PLÃSTICA POR 10 ML Y FOLLETO DE MODO DE USO.,U,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA.,g,4
43,6411,AZITROMICINA 500MG.,2,CAJA POR 2 TABLETAS EN BLISTER PVC / ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO. EQUIVALENTE A AZITROMICINA BASE,mg,500
44,20073631,AZIBIOTRIM Â® 500 MG,3,CAJA X 3 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
45,20099969,MILAGRAMÂ® TABLETAS,150,INSTITUCIONAL: CAJA POR 150 TABLETAS EN BLISTER ALUMINIO PVC TRANSPARENTE POR 3 TABLETAS CADA UNO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA,mg,500
46,19908252,AZITROMICINA 500 MG,3,CAJA DE CARTÃ“N X 3 TABLETAS CON 1 BLISTER PVC INCOLORO MÃS PAPEL DE ALUMINIO POR 3 TABLETAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 524.0 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
47,20057210,BACTROSAFEÂ® 250 MG TABLETAS RECUBIERTAS,3,PRESENTACION COMERCIAL: CAJA PELGADIZA POR 3 TABLETAS RECUBIERTAS POR BLISTER DE ALUMINIO/ PVC/PVDC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,250
48,20057210,BACTROSAFEÂ® 250 MG TABLETAS RECUBIERTAS,3,PRESENTACION COMERCIAL: CAJA PELGADIZA POR 3 TABLETAS RECUBIERTAS POR BLISTER DE ALUMINIO/ PVC/PVDC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,250
49,20028788,AZITROMICINA 500 MG,5,CAJA POR 5. TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER DE ALUMINIO /PVDC POR 5 TABLETAS RECUBIERTA,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 526.3200 MG EQUIVALENTE A AZIROMICINA BASE,mg,500
50,19993382,AZTROBAC 200 MG / 5 ML,15,PLEGADIZA DE CARTON QUE CONTIENE FRASCO PEAD CON POLVO PARA RECONSTITUIR A 15 ML,ml,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO,mg,200
51,19970783,KROMICIN 200 MG/5ML POLVO PARA SUSPENSIÃ“N,22.5,FRASCO PEAD COLOR NATURAL POR 22.5 ML,ml,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,g,4
52,19947945,MACROZIT 200 MG/5ML POLVO PARA RECONSTITUIR A SUSPENSION,15,USO INSTITUCIONALFRASCO EN POLIETILENO DE ALTA DENSIDAD POR 15 ML.CON JERINGA Y COPA DOSIFICADORA,ml,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,g,4
53,6411,AZITROMICINA 500MG.,3,CAJA POR 3 TABLETAS EN BLISTER PVC / ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO. EQUIVALENTE A AZITROMICINA BASE,mg,500
54,19969831,ZITRIMÂ® 500 MG,1,CAJA POR 1 TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/PVDC POR 1 TABLETAS RECUBIERTAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 526.320 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
55,20107150,DOBRICON,1,CAJA CON FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD BLANCO CON 5 ML. TAPA DE POLIESTIRENO,U,S01AA26,AZITROMICINA,TÃ“PICA OCULAR,C,AZITROMICINA DIHIDRATADA 15 MG EQUIVALENTE A AZITROMICINA BASE,mg,14.3
56,19900181,ZARETÂ® 500 MG INYECTABLE (LIOFILIZADO),3,CAJA PLEGADIZA POR 3 FRASCOS VIAL DE VIDRIO TRANSPARENTE TIPO I. TAPA DE CAUCHO GRIS EN BROMOBUTILO. AGRAFE DE ALUMINIO Y TAPA FLIP OFF BLANCA EN POLIPROPILENO + INSERTO.,U,J01FA10,AZITROMICINA,INFUSIÃ“N INTRAVENOSA,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
57,20057213,BACTROSAFEÂ® 500 MG TABLETAS RECUBIETAS,3,USO INSTITUCIONAL: CAJA POR 3 TABLETAS RECUBIERTAS EN BLISTER ALUMINIO/PVC/PVDC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
58,20100712,AZITROMICINA 500 MG TABLETA RECUBIERTA,1,CAJA POR 1 TABLETAS RECUBIERTAS EN BLISTER PVC-ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA 91.0% 549.45 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
59,20087103,IMPOFIN-ZÂ®,30,CAJA POR 30 TABLETAS EN BLISTER PVC TRANSPARENTE/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA ANHIDRA COMO AZITROMICINA DIHIDRATO,mg,500
60,6414,AZITROMICINA MK 200 MG/ 5 ML POLVO PARA SUSPENSION,1,CAJA PLEGADIZA CON FRASCO PEAD NATURAL. TAPA DE PP BLANCA. FRASCO PEAD NATURAL TAPA BLANCA DE PP CON DILUENTE. MÃS JERINGA DOSIFICADORA. TAPÃ“N DE SEGURIDAD E INSTRUCTIVO DE USO.,U,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA.,g,4
61,6411,AZITROMICINA 500MG.,5,CAJA PLEGADIZA POR 5 TABLETAS EN BLISTER PVC/ALUMINIO POR 5 TABLETAS.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO. EQUIVALENTE A AZITROMICINA BASE,mg,500
62,19911014,PENFLUZ 500 MG TABLETAS,3,CAJAS CON 3 TABLETAS EN BLISTER PVC/ALUMINIO POR 3 TABLETAS CADA UNO.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA,mg,500
63,51565,ZITROMAXÂ® 500 MG,2,PRESENTACION COMERCIAL: CAJA POR 2 TABLETAS EN BLISTER PCV/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA,mg,500
64,20143099,MEIBOSÂ®SOLUCION OFTALMICA,6,CAJA PLEGADIZA CON 6 FRASCOS X 3 ML EN PEBD . SUBTAPA CAPILAR INCOLORA PEBD COLOR NATURAL Y TAPA PP COLOR BLANCO,U,S01AA26,AZITROMICINA,OFTÃLMICA,C,AZITROMICINA DIHIDRATO. EQUIVALENTE A 14.3 MG DE AZITROMICINA BASE,mg,15
65,19969831,ZITRIMÂ® 500 MG,2,CAJA POR 2 TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/PVDC POR 2 TABLETAS RECUBIERTAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 526.320 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
66,20100712,AZITROMICINA 500 MG TABLETA RECUBIERTA,5,CAJA POR 5 TABLETAS RECUBIERTAS EN BLISTER PVC-ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA 91.0% 549.45 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
67,20103854,ZITROMAX POLVO PARA SOLUCION INTRAVENOSA,2,CAJA POR 2 VIALES DE VIDRIO TIPO I TRANSPARENTE - TAPÃ“N DE BROMOBUTILO GRIS Y SELLO DE ALUMINO Y TAPA FLIP-OFF.,U,J01FA10,AZITROMICINA,INFUSIÃ“N INTRAVENOSA,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA,mg,500
68,20007886,AZICLAM 500 MG TABLETAS,2,ESTUCHE POR 2 TABLETAS EN BLISTER DE PVC INCOLORO MAS PAPEL DE ALUMINIO EN PLAQUETAS.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
69,59992,ZARET 500 MG TABLETAS,60,CAJA POR 60 TABLETAS EN BLISTER ALUMINIO/PVDC/PVC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 524 MG EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
70,6411,AZITROMICINA 500MG.,20,CAJA POR 20 TABLETAS EN BLISTER PVC / ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO. EQUIVALENTE A AZITROMICINA BASE,mg,500
71,20143099,MEIBOSÂ®SOLUCION OFTALMICA,1,CAJA PLEGADIZA CON 1 FRASCO X 3 ML EN PEBD . SUBTAPA CAPILAR INCOLORA PEBD COLOR NATURAL Y TAPA PP COLOR BLANCO,U,S01AA26,AZITROMICINA,OFTÃLMICA,C,AZITROMICINA DIHIDRATO. EQUIVALENTE A 14.3 MG DE AZITROMICINA BASE,mg,15
72,59992,ZARET 500 MG TABLETAS,5,CAJA POR 5 TABLETAS EN BLISTER ALUMINIO/PVDC/PVC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 524 MG EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
73,19952933,AZITROMICINA 500MG,6,CAJA POR 6 TABLETAS EN BLISTER PVC/ALUMINIO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,mg,500
74,20103854,ZITROMAX POLVO PARA SOLUCION INTRAVENOSA,5,CAJA POR 5 VIALES DE VIDRIO TIPO I TRANSPARENTE - TAPÃ“N DE BROMOBUTILO GRIS Y SELLO DE ALUMINO Y TAPA FLIP-OFF.,U,J01FA10,AZITROMICINA,INFUSIÃ“N INTRAVENOSA,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA,mg,500
75,20072857,AZOMAXÂ® 500 MG TABLETAS,3,CAJA DE CARTÃ“N CON 3 TABLETAS EN BLISTER DE PVC / ALUMINIO.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA BASE,mg,500
76,20073631,AZIBIOTRIM Â® 500 MG,2,CAJA X 2 TABLETAS RECUBIERTAS EN BLISTER DE ALU- PVC INCOLORO,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
77,20013596,ATROMEDÂ® 200 MG/5 ML POLVO PARA RECONSTITUIR A SUSPENSION ORAL,16.2,CAJA CON FRASCO PET BLANCO Y TAPA ROSCA DE PP NO. 28. CON 16.2 G DE POLVO PARA RECONSTITUIR A 15 ML DE SUSPENSION MAS JERINGA DESECHABLE PARA SU PREPARACION.,g,J01FA10,AZITROMICINA,ORAL,E,AZITROMICINA DIHIDRATO. EQUIVALENTE A AZITROMICINA BASE,g,4
78,59992,ZARET 500 MG TABLETAS,3,CAJA POR 3 TABLETAS EN BLISTER ALUMINIO/PVDC /PVC,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 524 MG EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
79,19969831,ZITRIMÂ® 500 MG,3,CAJA POR 3 TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/PVDC POR 3 TABLETAS RECUBIERTAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 526.320 MG EQUIVALENTE A AZITROMICINA BASE,mg,500
80,20004784,AZIFASTÂ® -500 TABLETAS RECUBIERTAS,6,USO INSTITUCIONAL: CAJA POR 2 BLÃSTER PVC/ALUMINIO POR 3 TABLETAS RECUBIERTAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 529.87 EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
81,20152004,ALBACZITROLÂ®,1,FRASCO EN PET BLANCO POR 30 ML EN EL CUAL SE RECONSTITUYEN 15 ML DEL PRODUCTO CON TAPA EN POLIPROPILENO BLANCA CON TAPA DOSIFICADORA.,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO. EQUIVALENTE A AZITROMICINA,g,4
82,20004784,AZIFASTÂ® -500 TABLETAS RECUBIERTAS,5,COMERCIAL: CAJA POR BLÃSTER PVC/ALUMINIO POR 5 TABLETAS RECUBIERTAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 529.87 EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
83,20004784,AZIFASTÂ® -500 TABLETAS RECUBIERTAS,3,USO INSTITUCIONAL: CAJA POR BLÃSTER PVC/ALUMINIO POR 3 TABLETAS RECUBIERTAS,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 529.87 EQUIVALENTE A AZITROMICINA ANHIDRA,mg,500
