id,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
19,NORVAS ® 10 MG TABLETAS,PFIZER S.A.S.,INVIMA 2016M-004028R-2,01/01/1999,09/06/2021,Vigente,1980545,23,84,CAJA POR 84 TABLETAS EN BLISTER PVC/PVDC OPACO CON FOIL DE ALUMINIO,Activo,06/20/2013,N/A,No,U,C08CA01,AMLODIPINO,ORAL,A,BESILATO DE AMLODIPINO 13.889 MG EQUIVALENTE A AMLODIPINO,mg,10,TABLETA,TABLETA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
20,OPHTHABRACIN D SOLUCIÓN OFTALMICA,ESPECIALIDADES OFTALMOLOGICAS S.A.,INVIMA 2016M-0005384-R1,02/17/2006,09/23/2021,Vigente,19954781,2,48,CAJA POR 6 FRASCOS.FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD POR 8 ML,Inactivo,03/29/2007,08/19/2014,No,ml,S01AA12,TOBRAMICINA,CONJUNTIVAL,C,1.33 MG DE DEXAMETASONA SODIO FOSFATO EQUIVALENTE A  DEXAMETASONA,mg,1,1 ML DE SOLUCION OFTLMICA,SOLUCION OFTALMICA,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
21,CANDAM® 5/32 MG TABLETAS,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-0013418-R1,07/24/2012,10/31/2022,Vigente,20037986,11,2,MUESTRA MEDICA: CAJA POR 2 TABLETAS EN BLISTER ALUMINIO/ALUMINIO MAS PAPEL ALUMINIO.,Activo,02/27/2017,08/15/2017,Si,U,C08CA01,AMLODIPINO,ORAL,A,CANDESARTAN CILEXETILO,mg,32,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
22,AMPICILINA + SULBACTAM 1.5 G POLVO PARA SOLUCIÓN INYECTABLE,PROCAPS S.A.,INVIMA 2018M-0008484-R1,09/30/2008,08/08/2023,Vigente,19991053,1,1,CAJA X 1 VIAL DE VIDRIO TIPO I TRANSPARENTE CON 1. 5 G. DE AMPICILINA + SULBACTAM EN FORMA DE POLVO PARA RECONSTITUIR,Activo,06/25/2008,N/A,No,U,J01CR01,AMPICILINA E INHIBIDOR ENZIMATICO,INTRAVENOSA,A,SULBACTAM SÓDICO ESTÉRIL EQUIVALENTE A SULBACTAM BASE,g,0.5,VIAL,POLVO PARA SOLUCIÓN INYECTABLE,PHARMAYECT S.A.,FABRICANTE,FABRICAR Y VENDER
23,LUMBAL® TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2018M-0001294-R2,04/16/2002,05/10/2023,Vigente,19915081,34,6,MUESTRA MÉDICA: CAJA POR 6 TABLETAS EN BLÍSTER PVC/PE/PVDC INCOLORO/PAPEL ALUMINIO.,Activo,01/03/2020,N/A,Si,U,M01AE02,NAPROXENO,ORAL,A,CAFEINA,mg,50,N/A,TABLETA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S. SIGLA LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
24,LOSARTAN POTASICO 50 MG TABLETAS,C.I. FARMACAPSULAS S.A.,INVIMA 2018M-0018181,04/30/2018,05/17/2023,Vigente,20123645,16,60,CAJA POR 60 TABLETAS. EN BLISTER FOIL ALUMINIO / PVC TRANSPARENTE. 4 BLISTER POR 15 TABLETAS. (IUM 1L1011091001101),Activo,04/16/2019,N/A,No,U,C09CA01,LOSARTAN,ORAL,A,LOSARTAN POTASICO,mg,50,TABLETA,TABLETA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
25,DAIVOBET UNGUENTO,LEO PHARMA A/S,INVIMA 2019M-0003064-R2,02/03/2004,07/29/2024,Vigente,19937177,3,1,CAJA POR UN TUBO EN ALUMINIO POR 30 G.,Activo,11/10/2006,N/A,No,U,D05AX52,CALCIPOTRIOL COMBINACIONES,TOPICA (EXTERNA),D,BETAMETASONA DIPROPIONATO 0.643MG EQUIVALENTE A BETAMETASONA,mg,0.5,1G.,UNGUENTO TOPICO,LABORATORIOS BIOPAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
26,SANADOL,HIGH NUTRITION COMPANY S.A.S.,INVIMA 2016M-0016759,01/28/2016,02/16/2021,Vigente,20099544,2,8,CAJA POR 8 CÁPSULAS EN BLISTER PVC-PVDC TRANSPARENTE /ALUMINIO POR 8 CÁPSULAS,Activo,01/19/2016,N/A,No,U,M01AE02,NAPROXENO,ORAL,A,NAPROXENO SÓDICO,mg,275,CAPSULA BLANDA,CAPSULA BLANDA,HC CLOVER. PRODUCTOS Y SERVICIOS,FABRICANTE,IMPORTAR. ENVASAR Y VENDER
27,SULTAMIX® 250 MG / 5ML POLVO PARA SUSPENSION ORAL,BIOCHEM FARMACEUTICA DE COLOMBIA S.A.,INVIMA 2019M-0018930,04/08/2019,05/03/2024,Vigente,20139334,2,1,MUESTRA MÉDICA: 1S1003641002101: CAJA CON FRASCO DE VIDRIO ÁMBAR TIPO II + TAPA PLÁSTICA DE POLIPROPILENO BLANCO CON LINER DARAFORM AZUL EN MATERIAL EVA. CON POLVO PARA RECONSTITUIR A 60 ML,Activo,07/24/2018,N/A,Si,U,J01CR01,AMPICILINA E INHIBIDOR ENZIMATICO,ORAL,E,SULTAMICILINA,g,5,71.5 G DE POLVO PARA RECONSTITUIR A 100 ML DE SUSPENSIÓN ORAL.,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,SYNTOFARMA S.A.,FABRICANTE,FABRICAR Y VENDER
28,BRIMOFTAL® SOLUCION OFTALMICA,TECNOQUIMICAS S.A.,INVIMA 2017M-0013147-R1,04/30/2012,10/05/2022,Vigente,20037341,3,50,CAJA X 10 FRASCOS GOTERO DE PEBD COLOR BLANCO CON TAPA DE PP COLOR BLANCO Y SUBTAPA DE PEBD COLOR NATURAL X 5ML DE SOLUCIÓN,Activo,03/20/2020,N/A,No,ml,S01EA05,BRIMONIDINA,CONJUNTIVAL,C,BRIMONIDINA TARTRATO,mg,2,ML (29 GOTAS),SOLUCION OFTALMICA,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
29,RUVAX ® 10 MG TABLETAS RECUBIERTAS,HUMAX PHARMACEUTICAL S.A.,INVIMA 2017M-0017552,01/13/2017,02/09/2022,Vigente,20103604,12,28,USO INSTITUCIONAL: CAJA PLEGADIZA POR 28 TABLETAS RECUBIERTAS EN 2 FOIL DE ALUMINIO PEBD POR 14 TABLETAS RECUBIERTAS CADA UNO,Activo,12/09/2016,N/A,No,U,C10AA07,ROSUVASTATINA,ORAL,A,ROSUVASTATINA CALCICA 10.395 MG EQUIVALENTE A ROSUVASTATINA BASE,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,FARMATECH S.A.,FABRICANTE,FABRICAR Y VENDER
30,VAYAPLIN® 5 MG,PROCAPS S.A.,INVIMA 2019M-0018924,04/05/2019,04/29/2024,Vigente,20153561,3,28,IUM 1T1006511009101 CAJA POR 28 TABLETAS RECUBIERTAS EN BLISTER ALU/FILL ACLAR POR 14 TABLETAS RECUBIERTAS CADA UNO.,Activo,04/04/2019,N/A,No,U,G04BE08,TADALAFIL,ORAL,A,TADALAFILO,mg,5,TABLETA,TABLETA RECUBIERTA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
31,GLUCONATO DE CALCIO ECAR AL 10% SOLUCION INYECTABLE,LABORATORIOS ECAR S.A,INVIMA 2016M-14424-R2,01/01/1999,09/16/2021,Vigente,19906318,11,"10,000",CAJA DE CARTON CON AVISPERO X 1000 AMPOLLAS DE VIDRIO TIPO I POR 10 ML. CADA UNA,Inactivo,04/02/2014,07/26/2016,No,ml,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),INTRAVENOSA,A,SACARATO DE CALCIO TETRAHIDRATADO,g,0.045,AMPOLLA DE 10 ML,SOLUCION INYECTABLE,LABORATORIOS ECAR S.A,FABRICANTE,FABRICAR Y VENDER
32,MIGRACEF® TABLETA RECUBIERTA,PHARMA LASER LTDA.,INVIMA 2018M-0018146,04/19/2018,05/11/2023,Vigente,20107016,3,100,CAJA POR 100 TABLETAS EN BLISTER PVC/PVDC BLANCO.,Inactivo,02/27/2018,02/28/2018,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,IBUPROFENO GRANULOS CD 90% EQUIVALENTE A IBUPROFENO BASE,mg,400,TABLETA RECUBIERTA,TABLETA RECUBIERTA,COLOMPACK S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
33,LIPITOR® 40 MG. TABLETAS,PFIZER S.A.S.,INVIMA 2018M-0000961-R2,01/17/2002,03/13/2023,Vigente,19919867,33,5,MUESTRA MEDICA: CAJA POR 5 TABLETAS EN BLISTER ALUMINIO PA / ALUMINIO / PVC,Inactivo,11/30/2009,06/20/2012,Si,U,C10AA05,ATORVASTATIN,ORAL,A,ATORVASTATINA CALCICA 43.40 MG EQUIVALENTE A ATORVASTATINA BASE,mg,40,TABLETA,TABLETA,PFIZER PHARMACEUTICALS LLC,FABRICANTE,IMPORTAR Y VENDER
34,TADALAFILO TABLETAS RECUBIERTAS 5 MG,WINTHROP PHARMACEUTICALS DE COLOMBIA S.A.,INVIMA 2015M-0015913,06/01/2015,06/19/2020,Vigente,20085090,10,28,CAJA POR 28 TABLETAS RECUBIERTAS EN BLISTER PVC/PVDC TRANSPARENTE Y ALUMINIO,Activo,04/07/2015,N/A,No,U,G04BE08,TADALAFIL,ORAL,A,TADALAFILO,mg,5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,SANOFI - AVENTIS DE COLOMBIA S.A,FABRICANTE,FABRICAR Y VENDER
35,LOSARTAN POTASICO 50 MG TABLETAS,C.I. FARMACAPSULAS S.A.,INVIMA 2018M-0018181,04/30/2018,05/17/2023,Vigente,20123645,10,300,INSTITUCIONAL CAJA POR 300 TABLETAS. EN BLISTER FOIL ALUMINIO / PVC TRANSPARENTE. 30 BLISTER POR 10 TABLETAS. (IUM 1L1011091001103),Activo,04/23/2018,N/A,No,U,C09CA01,LOSARTAN,ORAL,A,LOSARTAN POTASICO,mg,50,TABLETA,TABLETA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
36,NATELE® EASYGELS,BAYER A.G.,INVIMA 2017M-0005692-R1,05/05/2006,05/24/2022,Vigente,19960586,2,28,CAJA POR 28 CÁPSULAS EN BLISTER DE ALUMINIO/ PVC/PVDC TRANSPARENTE POR 7 CÁPSULAS BLANDAS CADA UNO,Activo,02/05/2007,N/A,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,VITAMINA B6 (PIRIDOXINA CLORHIDRATO),mg,4,CAPSULA,CAPSULA BLANDA,BAYER S.A.,IMPORTADOR,IMPORTAR Y VENDER
37,DOLOFEN SLEEP,PROCAPS S.A.,INVIMA 2016 M-13901-R2,11/22/1999,04/15/2021,Vigente,19904844,2,8,BLISTER DE PVC/ALUMINIO POR 4 TABLETAS. EN CAJA POR 8 TABLETAS,Inactivo,11/10/2006,06/23/2010,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,DIFENHIDRAMINA CLORHIDRATO,mg,25,TABLETA,TABLETA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
38,DIARSET NX- M SUSPENSION,NEVOX FARMA S.A.S.,INVIMA 2017M-0005694-R1,05/08/2006,03/10/2022,Vigente,19964716,3,30,MUESTRA MEDICA: PET AMBAR X 30 ML CON TAPA DE SEGURIDAD ALUSUD NO. 28 EN POLIPROPILENO,Inactivo,01/17/2017,02/20/2017,Si,ml,G01AF20,COMBINACIONES DE IMIDAZOL DERIVADOS,ORAL,B,METRONIDAZOL BENZOILO 8.04 G EQUIVALENTE A METRONIDAZOL BASE,g,5,CADA 100 ML DE SUSPENSIÓN,SUSPENSION ORAL,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
39,LYRICA® 150 MG CAPSULAS,PFIZER S.A.S.,INVIMA 2015M-0004457-R1,05/20/2005,08/06/2020,Vigente,19953204,5,10,CAJA X 10 CÁPSULAS EN BLISTER ALUMINIO/PVC TRANSPARENTE.,Activo,09/12/2012,N/A,No,U,N03AX16,PREGABALINA,ORAL,A,PREGABALINA,mg,150,CÁPSULAS,CAPSULA DURA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
40,CREMA NO. 4 MEDICADA,TECNOFAR TQ S.A.S,INVIMA 2010 M-14151 R1,01/17/2000,05/18/2020,Vigente,19906379,6,110,TUBO DE ALUMINIO POR 110 G EN CAJA.,Activo,11/10/2006,N/A,No,g,D02AB99,PREPARADOS DE ÓXICO DE ZINC SÓLO O EN COMBINACIÓN,TOPICA (EXTERNA),D,OXIDO DE ZINC,g,20,100 G DE CREMA,CREMA TOPICA,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
41,MODULEX 24 MCG,LABORATORIOS SIEGFRIED S.A.S.,INVIMA 2017M-0012338-R1,07/01/2011,10/11/2022,Vigente,20028573,16,4,CAJA POR 4 CÁPSULAS BLANDAS EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/ALUMINIO X 4 CÁPSULAS,Inactivo,03/08/2011,01/02/2019,Si,U,A06AX02,CARBONO DIOXIDO PRODUCTOS FARMACOLOGICOS,ORAL,A,LUBIPROSTONE,mcg,24,CAPSULA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
42,CONGESTEX GRANULADO (SOBRES),NOVAMED S.A.,INVIMA 2016M-0017135,06/27/2016,07/13/2021,Vigente,20090411,41,2,MUESTRA MEDICA: CAJA POR 2 SOBRES O SACHETS (TRILAMINA POLIESTER/ALUM/COEX),Activo,06/05/2015,N/A,Si,U,R05XX99,PREPARACIONES DE OTRAS COMBINACIONES PARA EL RESFRIADO COMÚN,ORAL,A,FENILEFRINA CLORHIDRATO,mg,20,SOBRE,GRANULOS,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
43,COLTRIM PLUS,NOVAMED S.A.,INVIMA 2015M-0016427,10/19/2015,11/20/2020,Vigente,20093230,11,24,CAJA POR 24 TABLETAS RECUBIERTAS EN BLISTER PVC/TE/PVDC INCOLORO / FOIL ALUMINIO BLISTER POR 12 TABLETAS RECUBIERTAS.,Activo,08/10/2015,N/A,No,U,A03AA05,TRIMEBUTINA,ORAL,A,SIMETICONA 100%,mg,120,TABLETA RECUBIERTA,TABLETA RECUBIERTA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
44,NEXT GL GENOMMA LAB®,GENOMMA LAB COLOMBIA LTDA.,INVIMA 2016M-0016942,03/22/2016,04/22/2021,Vigente,20097708,25,100,CAJA POR 100 CAPSULAS BLANDAS EN BLISTER PVC-PVDC TRANSPARENTE / ALUMINIO POR 10 CÁPSULAS,Activo,11/06/2015,N/A,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,IBUPROFENO,mg,200,CAPSULA BLANDA,CAPSULA BLANDA,HIGH NUTRITION COMPANY S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER
45,GASYN® SOLUCIÓN OFTALMICA ESTERIL,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-0018237,06/12/2018,06/28/2023,Vigente,20134270,3,1,1G1019671001102 MUESTRA MÉDICA: CAJA CON FRASCO EN PEBD CON BOMBA OFTÁLMICA OSD PP/PE/TPE/PTFE/PEBD/ACERO INOXIDABLE POR 3ML,Activo,05/02/2018,N/A,Si,U,S01AE06,GATIFLOXACINO,OFTÁLMICA,C,5.36 MG DE GATIFLOXACINA SESQUIHIDRATO EQUIVALENTE A GATIFLOXACINA BASE,mg,5,ML,SOLUCION OFTALMICA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER
